sku,imagen
Hl9140/220,"https://source.unsplash.com/400x400/?Hidrolavadora,Forest,&,Garden,Hl9140/220,140,Bar,2000w,Color,Verde,50,Hz,X,60,Hz"
277-0205,"https://source.unsplash.com/400x400/?Lijadora,Banda,650w,Makita,"
358918,"https://source.unsplash.com/400x400/?Pintura,Aerosol,Alta,Temperatura,Rust,Oleum,430ml,Color,Plata,Mate"
NT713,"https://source.unsplash.com/400x400/?Taladro,Neumatico,Alpha,Pro,C/maleta,A/rap."
DBC0522801CH,"https://source.unsplash.com/400x400/?Cincel,Enc,Hexagonal,17x280x22mm,Chato,Para,Pdb13008"
SOCRM020225VIT,"https://source.unsplash.com/400x400/?Mayorlux,Brillante,Verde,Italia,225ml"
KC13201,"https://source.unsplash.com/400x400/?Mandril,Para,Taladro,Auto,Ajustable,13mm,Rosca,1/2"
8183,"https://source.unsplash.com/400x400/?Llave,Combinada,19,Mm,Tramontina,Pietra,Tre19"
iw887,"https://source.unsplash.com/400x400/?Mecha,Concreto,Irwin,8x120mm,5/16,,En,Pvc"
Hpwr16008,"https://source.unsplash.com/400x400/?Hidrolavadora,1600w,140bar,Motor"
10066,"https://source.unsplash.com/400x400/?Tijera,Corta,Pernos,8,PuLG.,Tolsen,Hasta,3.5mm,Decorte"
RM1032/1/220,"https://source.unsplash.com/400x400/?Rotomartillo,32mm,1500w,7j,Neo,"
TP1010/12K2,"https://source.unsplash.com/400x400/?Taladro,Percutor,Recargable,Con,2,Bat,Tp1010/12k2"
020223,"https://source.unsplash.com/400x400/?Esmalte,Sint,Brillante,Amarillo,225ml"
CGSLI2068,"https://source.unsplash.com/400x400/?Mini,Motosierra,A,Bateria,P20s,Ingco,Cgsli2068,Naranja"
90191,"https://source.unsplash.com/400x400/?Cortadora,Césped,Eléctrica,Stark,Pro,Gh400e,1300w,Carcasa,Acero,40cm"
10082,"https://source.unsplash.com/400x400/?Pinza,De,Seguro,Curvo,Interior,7,,Tolsen"
42172217,"https://source.unsplash.com/400x400/?Fresa,Para,Router,Corte,Recto,1/2,Truper,"
180817,"https://source.unsplash.com/400x400/?Dado,Terraja,3,Triangulo,,6x1mm,C1,,-,Ferretería,Armhel,,"
29-17,"https://source.unsplash.com/400x400/?Pulverizador,Fumigador,Manual,Stihl,Sg,71,Mochila,18,Litros"
HSG1405,"https://source.unsplash.com/400x400/?Engrampadora,Clavadora,Manual,3,En,1,Ingco,Hsg1405"
Plm6001,"https://source.unsplash.com/400x400/?Router,Manual,600w,Ingco,Plm6001,-,Smf"
804-5110,"https://source.unsplash.com/400x400/?Llave,Fija,6e,Gedore,Mm,18-19"
57509,"https://source.unsplash.com/400x400/?Lijadora,Orbital,Deko,280w,Dkps28g2,Aluminio,Amarillo,90x187mm"
iw1168,"https://source.unsplash.com/400x400/?Mecha,Alta,Velocidad,Hss,Irwin,1,"
TP1113/2/20,"https://source.unsplash.com/400x400/?Taladro,Percutor,Brushless,13mm,Bateria,2ah,Neo"
57501,"https://source.unsplash.com/400x400/?Amoladora,Angular,4,1/2,115mm,Deko,Dkag115xp90,900w,Color,Gris,Claro"
iw1348,"https://source.unsplash.com/400x400/?Mecha,Alta,Velocidad,Hss,Irwin,13.5,Mm"
133262,"https://source.unsplash.com/400x400/?Torno,De,Mesa,N4,Con,Embragues,Metálicos,-,10010084,Somar"
TIRACOLA100,"https://source.unsplash.com/400x400/?Despega,Todo,Removedor,Quita,Pegamento,Gel,Adhesivo,Pu,Silicona,100ml,Incoloro"
SOCRM022225BLA,"https://source.unsplash.com/400x400/?Esmalte,Sint,Mate,Blanco,225ml"
HDCP16150,"https://source.unsplash.com/400x400/?Calibre,Digital,Ingco,Hdcp16150"
WSV7K01,"https://source.unsplash.com/400x400/?Adaptador,De,,1/2,,,A,,1/4,,Hexagonal,Wadfow,Wsv7k01"
WMA9401,"https://source.unsplash.com/400x400/?Set,X,4,Sierras,Corte,Madera,Maquina,Multifuncion,Wadfow"
803-5230,"https://source.unsplash.com/400x400/?Llave,Combinada,1b,Gedore,1.5/8"
40350421,"https://source.unsplash.com/400x400/?Candado,Hierro,40,Mm,Trad.,Caja,Pretul,23518,Color,Dorado"
802-5090,"https://source.unsplash.com/400x400/?Llave,Combinada,14mm,Gedore"
015-15002,"https://source.unsplash.com/400x400/?Llave,Francesa,Ajustable,200,Mm,8,Pulgadas,Tolsen,15002"
WRS1820,"https://source.unsplash.com/400x400/?Wadfow,Wrs1820,Pulverizador,Fumigador,A,Presión,2l,Color,Azul"
DWE4214,"https://source.unsplash.com/400x400/?Amoladora,Dewalt,Dwe4214,De,50hz,1200w"
2188,"https://source.unsplash.com/400x400/?Candado,Papaiz,30mm"
019-6522,"https://source.unsplash.com/400x400/?Lijadora,Orbital,300w,Hyundai,"
441-1000,"https://source.unsplash.com/400x400/?Lija,Para,Madera,Norton,Grano,36,X10un"
352644,"https://source.unsplash.com/400x400/?Pintura,Aerosol,Metálica,Rust-oleum,Cromo,395ml,Acabado,Brillante"
MCD07630,"https://source.unsplash.com/400x400/?Set,X,30,3,Pulgadas,Discos,P,Mini,Amoladora,Cagli76017,Ingco,Color,Amarillo"
358294,"https://source.unsplash.com/400x400/?Esmalte,Al,Agua,Ultra,Cover,Brochable,0,946,Litro,Rust,Oleum,Color,Gris,Piedra,Satinado"
TP1010/12K2,"https://source.unsplash.com/400x400/?Taladro,Atornillador,Percutor,Recargable,12v,10mm,Neo"
WLE2M03,"https://source.unsplash.com/400x400/?Nivel,Laser,Autonivelante,Verde,30mt,Magnetic,Wadfow,Wle2m03"
015-75878,"https://source.unsplash.com/400x400/?Set,De,3,Brocas,Escalonadas,Para,Metal,4-32,Mm,-,Tolsen"
015-20134,"https://source.unsplash.com/400x400/?Destornillador,Phillips,Corto,Ph2,X,38mm,Tolsen,20134"
RM1032/1/220,"https://source.unsplash.com/400x400/?Rotomartillo,32mm,1500w,7,Joules,Neo,-,Gris"
441-2000,"https://source.unsplash.com/400x400/?,Hoja,Tela,Esmeril,Norton,Grano,36,(x5unidades)"
DW00705,"https://source.unsplash.com/400x400/?Mechas,Dewalt,110,X,8mm,Sds,Plus,Pvc,A/s"
40539004,"https://source.unsplash.com/400x400/?Juego,De,7,Dados,Torx,Hembra,Truper,Jdth-1/4,X7"
35422,"https://source.unsplash.com/400x400/?Esmalte,En,Aerosol,400ml,Franca,-,Color,Azul"
780268,"https://source.unsplash.com/400x400/?Cinta,Doble,Faz,3,M,Vhb,19,Mm,X,5,M,4910,Transparente,Liso"
019-1980,"https://source.unsplash.com/400x400/?Aspiradora,Industrial,Hyundai,Hysv30,-,30lts,Seco-humedo"
WGL1604,"https://source.unsplash.com/400x400/?Pistola,Para,Silicona,Caliente,Max,90w,Wadfow"
335350,"https://source.unsplash.com/400x400/?Aerosol,Azul,Costeño,Chalked,Rust-oleum,-,Ferreteria,Armhel"
337676,"https://source.unsplash.com/400x400/?Esmalte,Rust-oleum,Ultra,Cover,946,Ml,Turquesa,Brillante"
CSLI16521,"https://source.unsplash.com/400x400/?Sierra,Circular,A,Bateria,P20s,165mm,Con,Carg/bat,Ingco,Color,Naranja,Frecuencia,50/60,Amarillo"
80-219,"https://source.unsplash.com/400x400/?Llaves,Combinadas,10mm.,Stanley,Basic"
ID8108,"https://source.unsplash.com/400x400/?Taladro,Percutor,810w,Id8108,Ingco"
iw1291,"https://source.unsplash.com/400x400/?Mecha,Alta,Velocidad,Hss,Irwin,8.75,Mm"
DBC0512801,"https://source.unsplash.com/400x400/?Cincel,Encastre,Hexagonal,17x280mm,Demoledor"
322648,"https://source.unsplash.com/400x400/?Imprimante,U.cover,Anticorrosivo,Al,Agua"
42172290,"https://source.unsplash.com/400x400/?Fresa,Para,Router,Corte,Clasico,1-3/8,Truper"
HPS0601,"https://source.unsplash.com/400x400/?Tijera,Poda,Industrial,8.5,Ingco,Hps0601,Color,Naranja/negro"
390371,"https://source.unsplash.com/400x400/?Sierra,Copa,Stronger,Con,Dientes,De,Widia,80mm"
IW882,"https://source.unsplash.com/400x400/?Broca,Muro,Irwin,3/16x31/2,(iw882)"
019-6214,"https://source.unsplash.com/400x400/?Rotomartillo,Sds,Plus,950w,Hyundai,"
335341,"https://source.unsplash.com/400x400/?Pintura,Aerosol,Tizado,Rust-oleum,Blanco,Lino,Cerámica,Madera,354ml,Blanco,Lino,-,Line,White"
WCP4374,"https://source.unsplash.com/400x400/?Prensa,Rapida,4,,35x,100mm,Wadfow"
8181,"https://source.unsplash.com/400x400/?Llave,Combinada,17,Mm,Master,Tramontina,Color,Plateado"
CTVLI2001,"https://source.unsplash.com/400x400/?Ventosa,Vibradora,Ingco,P20s,130mm,Portátil,A,Batería"
DW00730,"https://source.unsplash.com/400x400/?Mechas,Dewalt,450,X,22mm,Sds,Plus,Pvc,A/s"
019-6522,"https://source.unsplash.com/400x400/?Lijadora,Orbital,300w,Hyundai,98x180mm,(019-6522),Color,Azul,Frecuencia,50,Hz"
322655,"https://source.unsplash.com/400x400/?Esmalte,Rust-oleum,Ultra,Cover,Blanco,Semi,Brillante,0,946ml"
43185100,"https://source.unsplash.com/400x400/?Pico,Punta,Pala,5,Lb,Cabo,Fibra,Vidrio,Truper,Tp-5m"
CIDLI12201,"https://source.unsplash.com/400x400/?Atornillador,Percutor,12v,S12,X2,Baterias,Ingco"
358920,"https://source.unsplash.com/400x400/?Pintura,Aerosol,Blanco,Rust-oleum,Alta,Temperatura,340cc,Interior/exterior"
Cacli2018,"https://source.unsplash.com/400x400/?Inflador,Compresor,20v,P20s,S/bat,Ingco"
43990160,"https://source.unsplash.com/400x400/?Guardapolvo,100,Cm,Hermex,46363"
015-75655,"https://source.unsplash.com/400x400/?Set,De,6,Brocas,Planas,Para,Madera,Tolsen"
343434,"https://source.unsplash.com/400x400/?Aerosol,Rojo,Campestre,Chalked,Rust-oleum,"
38050,"https://source.unsplash.com/400x400/?Pelacables,Automático,Ajustable,Tolsen,38050"
HHS6001,"https://source.unsplash.com/400x400/?Tijera,Podar,Corta,Cerco,6mm,Jardín,22,,Ingco"
377269,"https://source.unsplash.com/400x400/?Esmalte,Rust-oleum,Aerosol,Turquesa,Para,Telas,390,Ml"
